model,task,shot,task description,accuracy
text-ada-001,french,0,False,0.030100334448160536
text-ada-001,french,1,False,0.010033444816053512
text-ada-001,french,2,False,0.12374581939799331
text-ada-001,french,3,False,0.07692307692307693
text-ada-001,french,4,False,0.3979933110367893
text-ada-001,french,5,False,0.29431438127090304
text-ada-001,french,6,False,0.3779264214046823
text-ada-001,colour,0,False,0.0
text-ada-001,colour,1,False,0.0
text-ada-001,colour,2,False,0.0
text-ada-001,colour,3,False,0.10638297872340426
text-ada-001,colour,4,False,0.1595744680851064
text-ada-001,colour,5,False,0.3829787234042553
text-ada-001,colour,6,False,0.2127659574468085
text-ada-001,lowercase,0,False,0.0
text-ada-001,lowercase,1,False,0.006369426751592357
text-ada-001,lowercase,2,False,0.0
text-ada-001,lowercase,3,False,0.01910828025477707
text-ada-001,lowercase,4,False,0.24203821656050956
text-ada-001,lowercase,5,False,0.15286624203821655
text-ada-001,lowercase,6,False,0.27388535031847133
text-ada-001,question,0,False,0.0
text-ada-001,question,1,False,0.07092198581560284
text-ada-001,question,2,False,0.2624113475177305
text-ada-001,question,3,False,0.1773049645390071
text-ada-001,question,4,False,0.2765957446808511
text-ada-001,question,5,False,0.6312056737588653
text-ada-001,question,6,False,0.425531914893617
text-babbage-001,french,0,False,0.2040133779264214
text-babbage-001,french,1,False,0.16722408026755853
text-babbage-001,french,2,False,0.2976588628762542
text-babbage-001,french,3,False,0.1705685618729097
text-babbage-001,french,4,False,0.18394648829431437
text-babbage-001,french,5,False,0.21739130434782608
text-babbage-001,french,6,False,0.3411371237458194
text-babbage-001,colour,0,False,0.14893617021276595
text-babbage-001,colour,1,False,0.2553191489361702
text-babbage-001,colour,2,False,0.11702127659574468
text-babbage-001,colour,3,False,0.2553191489361702
text-babbage-001,colour,4,False,0.13829787234042554
text-babbage-001,colour,5,False,0.2553191489361702
text-babbage-001,colour,6,False,0.20212765957446807
text-babbage-001,lowercase,0,False,0.2229299363057325
text-babbage-001,lowercase,1,False,0.2802547770700637
text-babbage-001,lowercase,2,False,0.33121019108280253
text-babbage-001,lowercase,3,False,0.3375796178343949
text-babbage-001,lowercase,4,False,0.36942675159235666
text-babbage-001,lowercase,5,False,0.3630573248407643
text-babbage-001,lowercase,6,False,0.4267515923566879
text-babbage-001,question,0,False,0.0851063829787234
text-babbage-001,question,1,False,0.2553191489361702
text-babbage-001,question,2,False,0.18439716312056736
text-babbage-001,question,3,False,0.12056737588652482
text-babbage-001,question,4,False,0.09929078014184398
text-babbage-001,question,5,False,0.19148936170212766
text-babbage-001,question,6,False,0.2127659574468085
text-curie-001,french,0,False,0.5551839464882943
text-curie-001,french,1,False,0.4080267558528428
text-curie-001,french,2,False,0.5250836120401338
text-curie-001,french,3,False,0.411371237458194
text-curie-001,french,4,False,0.5785953177257525
text-curie-001,french,5,False,0.44816053511705684
text-curie-001,french,6,False,0.5886287625418061
text-curie-001,colour,0,False,0.5
text-curie-001,colour,1,False,0.5851063829787234
text-curie-001,colour,2,False,0.574468085106383
text-curie-001,colour,3,False,0.574468085106383
text-curie-001,colour,4,False,0.39361702127659576
text-curie-001,colour,5,False,0.6170212765957447
text-curie-001,colour,6,False,0.5638297872340425
text-curie-001,lowercase,0,False,0.5159235668789809
text-curie-001,lowercase,1,False,0.4140127388535032
text-curie-001,lowercase,2,False,0.4713375796178344
text-curie-001,lowercase,3,False,0.4012738853503185
text-curie-001,lowercase,4,False,0.47770700636942676
text-curie-001,lowercase,5,False,0.3885350318471338
text-curie-001,lowercase,6,False,0.5414012738853503
text-curie-001,question,0,False,0.6524822695035462
text-curie-001,question,1,False,0.46099290780141844
text-curie-001,question,2,False,0.5602836879432624
text-curie-001,question,3,False,0.44680851063829785
